POS,ARCHETYPE,PRIMARY,SECONDARY,KEY BADGES,SECONDARY BADGES,,Layups,Dunks,Mid-Range,3PT,Ball Handling,Passing,Post Offense,Rebounding,Steals,Blocks,Vertical,Lat Quickness,Speed,Accel,Strength,Stamina
1,Two Way Slasher,Driving & Finishing,Defending,"HOF Posterizer, HOF Acrobat, HOF One Man Fast Break, GOLD Relentless Finisher, SILVER Tear Dropper","Silver Defensive Stopper, Silver Pick Pocket, Silver Pick Dodger, Silver Charge Card, Silver Ankle Breaker, Silver Chase Down Artist, Silver Lob City Finisher, Silver Putback King, Bronze Dimer, Bronze Brusier, Bronze Tireless Scorer, Bronze Pick & Roll Maestro, Bronze Lob City Passer, Bronze Flashy Passer, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,21-21,22-23,6-9,5-6,12-14,8-10,7-8,9-13,17-19,15-17,23-25,17-19,22-25,22-25,15-20,22-25
1,Two Way Shot Creator,Shot Creating,Defending,"GOLD Mid Range Deadeye, GOLD Tear Dropper, GOLD Tireless Scorer, GOLD Difficult Shots, GOLD Ankle Breaker","Silver Acrobat, Silver Defensive Stopper, Silver Charge Card, Silver One Man Fast Break, Silver Pick Pocket, Silver Pick Dodger, Silver Relentless Finisher, Bronze Dimer, Bronze Up & Under Specialist, Bronze Bruiser, Bronze Corner Specialist, Bronze Pick & Roll Maestro, Bronze Chase Down Artist, Bronze Lob City Passer, Bronze Posterizer, Bronze Post Spin Technician, Bronze Flashy Passer, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,13-18,13-17,20-21,12-14,14-18,9-13,11-13,9-12,15-18,15-18,17-21,16-19,18-22,19-21,14-18,22-25
1,Playmaking Shot Creator,Shot Creating,Passing & Ball Handling,"HOF Ankle Breaker, HOF Tireless Scorer, HOF Difficult Shots, GOLD Mid Range Deadeye, GOLD Tear Dropper","Silver Dimer, Silver Acrobat, Silver Pick & Roll Maestro, Silver Lob City Passer, Silver Flashy Passer, Silver One Man Fast Break, Silver Relentless Finisher, Bronze Up & Under Specialist, Bronze Corner Specialist, Bronze Break Starter, Bronze Defensive Stopper, Bronze Post Spin Technician, Bronze Charge Card, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,14-20,11-15,22-23,14-17,20-23,15-18,11-13,9-10,9-14,8-12,13-17,13-15,18-22,19-21,11-14,22-25
1,Shot-Creating Slasher,Driving & Finishing,Shot Creating,"HOF Acrobat, HOF Relentless Finisher, HOF One Man Fast Break, GOLD Tear Dropper, GOLD Posterizer","Gold Ankle Breaker, Silver Tireless Scorer, Silver Mid Range Deadeye, Silver Difficult Shots, Bronze Dimer, Bronze Pick & Roll Maestro, Bronze Lob City Finisher, Bronze Putback King, Bronze Chasedown Artist, Bronze Defensive Stopper, Bronze Lob City Passer, Bronze Flashy Passer, Bronze Post Spin Technician, Bronze Up & Under Specialist, Bronze Charge Card, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,23-24,22-23,14-16,7-9,15-17,8-11,8-9,9-12,11-15,9-13,21-23,14-16,21-23,21-23,11-13,22-25
1,Sharpshooting Shot Creator,Shot Creating,3pt Shooting,"HOF Tireless Scorer, HOF Difficult Shots, HOF Mid Range Deadeye, GOLD Tear Dropper, GOLD Ankle Breaker","Silver Corner Specialist, Silver Acrobat, Silver Catch & Shoot, Silver Deep Range Deadeye, Silver Limitless Range, Silver Relentless Finisher, Bronze Dimer, Bronze One Man Fast Break, Bronze Up & Under Specialist, Bronze Pick & Roll Maestro, Bronze Flashy Passer, Bronze Pick & Popper, Bronze Lob City Passer, Bronze Defensive Stopper, Bronze Post Spin Technician, Bronze Charge Card, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,14-19,11-14,24-24,18-20,14-19,9-14,11-14,9-11,9-14,8-12,13-17,13-15,14-18,15-17,11-14,22-25
1,Pure Slasher,Driving & Finishing,Driving & Finishing,"HOF Posterizer, HOF Relentless Finisher, HOF Acrobat, HOF One Man Fast Break, GOLD Tear Dropper","Silver Ankle Breaker, Silver Lob City Finisher, Silver Putback King, Bronze Dimer, Bronze Tireless Scorer, Bronze Pick & Roll Maestro, Bronze Chase Down Artist, Bronze Defensive Stopper, Bronze Lob City Passer, Bronze Flashy Passer, Bronze Pick Pocket, Bronze Post Spin Technician, Bronze Pick Dodger, Bronze Charge Card, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,25-25,25-25,7-10,5-6,14-17,8-10,7-8,9-13,12-15,9-13,23-25,14-16,22-25,22-25,11-15,22-25
1,Pure Shot Creator,Shot Creating,Shot Creating,"HOF Mid Range Deadeye, HOF Tear Dropper, HOF Tireless Scorer, HOF Difficult Shots, GOLD Ankle Breaker","Silver Acrobat, Silver Relentless Finisher, Silver One Man Fast Break, Silver Up & Under Specialist, Bronze Dimer, Bronze Corner Specialist, Bronze Pick & Roll Maestro, Bronze Defensive Stopper, Bronze Post Spin Technician, Bronze Lob City Passer, Bronze Flashy Passer, Bronze Charge Card, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,15-21,13-17,25-25,14-17,16-21,9-14,12-15,9-11,9-14,9-13,14-18,13-15,16-20,17-19,11-14,22-25
1,Pure Playmaker,Passing & Ball Handling,Passing & Ball Handling,"HOF Dimer, HOF Ankle Breaker, HOF Pick & Roll Maestro, HOF Lob City Passer, HOF Flashy Passer","Gold Break Starter, Gold One Man Fast Break, Silver Acrobat, Silver Difficult Shots, Silver Tireless Scorer, Bronze Defensive Stopper, Bronze Relentless Finisher, Bronze Mid Range Deadeye, Bronze Tear Dropper, Bronze Corner Specialist, Bronze Charge Card, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,12-17,5-9,11-16,13-16,25-25,25-25,6-8,7-8,9-13,5-7,9-14,13-16,22-25,22-25,9-13,22-25
1,Rebounding Shot Creator,Shot Creating,Rebounding,"GOLD Tear Dropper,  GOLD Tireless Scorer, GOLD Mid Range Deadeye, GOLD Difficult Shots, GOLD Ankle Breaker","Silver Relentless Finisher, Silver Acrobat, Silver One Man Fast Break, Silver Hustle Rebounder, Silver Break Starter, Silver Bruiser, Bronze Dimer, Bronze Up & Under Specialist, Bronze Corner Specialist, Bronze Pick & Roll Maestro, Bronze Defensive Stopper, Bronze Putback King, Bronze Lob City Passer, Bronze Posterizer, Bronze Post Spin Technician, Bronze Flashy Passer, Bronze Lob City Finisher, Bronze Charge Card, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,14-20,13-17,20-21,12-14,14-18,9-13,12-15,15-17,9-14,9-13,17-21,12-15,15-19,16-18,15-18,22-25
1,Slashing Shot Creator,Shot Creating,Driving & Finishing,"HOF Tear Dropper,  GOLD Tireless Scorer, GOLD Mid Range Deadeye, GOLD Difficult Shots, GOLD Ankle Breaker","Gold Acrobat, Gold Relentless Finisher, Gold One Man Fast Break, Silver Posterizer, Bronze Dimer, Bronze Pick & Roll Maestro, Bronze Up & Under Specialist, Bronze Corner Specialist, Bronze Defensive Stopper, Bronze Lob City Passer, Bronze Flashy Passer, Bronze Post Spin Technician, Bronze Lob City Finisher, Bronze Putback King, Bronze Charge Card, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,19-23,18-19,21-22,12-14,16-20,9-12,11-13,9-11,10-14,9-12,17-20,13-15,18-21,19-20,11-14,22-25
